question_id,source_chain_id,task_type,difficulty,hop_count,question,gold_rule_ids,gold_article_ids,gold_start_event,gold_final_effect,gold_counterfactual_status,gold_final_effect_reachable,gold_answer_label,gold_answer,alternative_chain_ids
F006,6,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",105|340,33|78,AP_DUNG_HINH_PHAT_CHINH,TAM_DUNG_HOAT_DONG,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị đình chỉ hoạt động có thời hạn, và hậu quả cuối cùng là tạm dừng hoạt động trong một hoặc một số lĩnh vực.",
CF006,6,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “tạm dừng hoạt động trong một hoặc một số lĩnh vực” hay không?",105|340,33|78,AP_DUNG_HINH_PHAT_CHINH,TAM_DUNG_HOAT_DONG,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “tạm dừng hoạt động trong một hoặc một số lĩnh vực” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",26
F007,7,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",105|341,33|78,AP_DUNG_HINH_PHAT_CHINH,THOI_HAN_DINH_CHI_6_THANG_DEN_3_NAM,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị đình chỉ hoạt động có thời hạn, và hậu quả cuối cùng là thời hạn đình chỉ từ 06 tháng đến 03 năm.",
CF007,7,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “thời hạn đình chỉ từ 06 tháng đến 03 năm” hay không?",105|341,33|78,AP_DUNG_HINH_PHAT_CHINH,THOI_HAN_DINH_CHI_6_THANG_DEN_3_NAM,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “thời hạn đình chỉ từ 06 tháng đến 03 năm” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",27
F008,8,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",106|343,33|79,AP_DUNG_HINH_PHAT_CHINH,CHAM_DUT_HOAT_DONG,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị đình chỉ hoạt động vĩnh viễn, và hậu quả cuối cùng là chấm dứt hoạt động trong một hoặc một số lĩnh vực.",
CF008,8,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “chấm dứt hoạt động trong một hoặc một số lĩnh vực” hay không?",106|343,33|79,AP_DUNG_HINH_PHAT_CHINH,CHAM_DUT_HOAT_DONG,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “chấm dứt hoạt động trong một hoặc một số lĩnh vực” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",16|28|32
F009,9,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",99|124,32|38,AP_DUNG_HINH_PHAT_CHINH,CHAP_HANH_TAI_CO_SO_GIAM_GIU,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị áp dụng hình phạt tù có thời hạn || các hình phạt chính đều là tù có thời hạn || điều luật quy định hình phạt tù có thời hạn, và hậu quả cuối cùng là phải chấp hành hình phạt tại cơ sở giam giữ trong một thời hạn nhất định.",
CF009,9,COUNTERFACTUAL_PATH_INVALIDATION,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “phải chấp hành hình phạt tại cơ sở giam giữ trong một thời hạn nhất định” hay không?",99|124,32|38,AP_DUNG_HINH_PHAT_CHINH,CHAP_HANH_TAI_CO_SO_GIAM_GIU,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “phải chấp hành hình phạt tại cơ sở giam giữ trong một thời hạn nhất định” dựa trên chuỗi này. Khi điều kiện đầu vào bị phủ định, đường suy luận nhân quả bị vô hiệu và hậu quả cuối không còn reachable theo chain đang xét.",
F010,10,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",99|125,32|38,AP_DUNG_HINH_PHAT_CHINH,THOI_HAN_TU_03_THANG_DEN_20_NAM,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị áp dụng hình phạt tù có thời hạn || các hình phạt chính đều là tù có thời hạn || điều luật quy định hình phạt tù có thời hạn, và hậu quả cuối cùng là thời hạn tù từ 03 tháng đến 20 năm.",
CF010,10,COUNTERFACTUAL_PATH_INVALIDATION,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “thời hạn tù từ 03 tháng đến 20 năm” hay không?",99|125,32|38,AP_DUNG_HINH_PHAT_CHINH,THOI_HAN_TU_03_THANG_DEN_20_NAM,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “thời hạn tù từ 03 tháng đến 20 năm” dựa trên chuỗi này. Khi điều kiện đầu vào bị phủ định, đường suy luận nhân quả bị vô hiệu và hậu quả cuối không còn reachable theo chain đang xét.",
F011,11,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",99|222,32|57,AP_DUNG_HINH_PHAT_CHINH,TOI_DA_BA_PHAN_TU_MUC_PHAT,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị áp dụng hình phạt tù có thời hạn || các hình phạt chính đều là tù có thời hạn || điều luật quy định hình phạt tù có thời hạn, và hậu quả cuối cùng là mức hình phạt không quá ba phần tư mức phạt tù do điều luật quy định.",
CF011,11,COUNTERFACTUAL_PATH_INVALIDATION,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “mức hình phạt không quá ba phần tư mức phạt tù do điều luật quy định” hay không?",99|222,32|57,AP_DUNG_HINH_PHAT_CHINH,TOI_DA_BA_PHAN_TU_MUC_PHAT,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “mức hình phạt không quá ba phần tư mức phạt tù do điều luật quy định” dựa trên chuỗi này. Khi điều kiện đầu vào bị phủ định, đường suy luận nhân quả bị vô hiệu và hậu quả cuối không còn reachable theo chain đang xét.",
F012,12,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị áp dụng hình phạt chính, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",99|210,32|55,AP_DUNG_HINH_PHAT_CHINH,TONG_HOP_KHONG_QUA_30_NAM,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị áp dụng hình phạt tù có thời hạn || các hình phạt chính đều là tù có thời hạn || điều luật quy định hình phạt tù có thời hạn, và hậu quả cuối cùng là các hình phạt được cộng lại thành hình phạt chung không quá 30 năm.",
CF012,12,COUNTERFACTUAL_PATH_INVALIDATION,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị áp dụng hình phạt chính” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “các hình phạt được cộng lại thành hình phạt chung không quá 30 năm” hay không?",99|210,32|55,AP_DUNG_HINH_PHAT_CHINH,TONG_HOP_KHONG_QUA_30_NAM,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “các hình phạt được cộng lại thành hình phạt chung không quá 30 năm” dựa trên chuỗi này. Khi điều kiện đầu vào bị phủ định, đường suy luận nhân quả bị vô hiệu và hậu quả cuối không còn reachable theo chain đang xét.",
F013,13,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: đã chấp hành được 12 năm tù, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",256|258,63,DA_CHAP_HANH_12_NAM_TU,GIAM_XUONG_30_NAM_TU,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến được xét giảm án lần đầu, và hậu quả cuối cùng là được giảm xuống 30 năm tù.",
CF013,13,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “đã chấp hành được 12 năm tù” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “được giảm xuống 30 năm tù” hay không?",256|258,63,DA_CHAP_HANH_12_NAM_TU,GIAM_XUONG_30_NAM_TU,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “được giảm xuống 30 năm tù” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",14|15
F014,14,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: đã chấp hành được một phần ba thời hạn hình phạt, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",254|255|258,63,DA_CHAP_HANH_1_3_THOI_HAN_HINH_PHAT,GIAM_XUONG_30_NAM_TU,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến được xét giảm án lần đầu, và hậu quả cuối cùng là được giảm xuống 30 năm tù.",
CF014,14,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “đã chấp hành được một phần ba thời hạn hình phạt” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “được giảm xuống 30 năm tù” hay không?",254|255|258,63,DA_CHAP_HANH_1_3_THOI_HAN_HINH_PHAT,GIAM_XUONG_30_NAM_TU,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “được giảm xuống 30 năm tù” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",13|15
F015,15,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: đã chấp hành được 25 năm tù, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",264|265|258,63,DA_CHAP_HANH_25_NAM_TU,GIAM_XUONG_30_NAM_TU,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến được xét giảm án lần đầu, và hậu quả cuối cùng là được giảm xuống 30 năm tù.",
CF015,15,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “đã chấp hành được 25 năm tù” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “được giảm xuống 30 năm tù” hay không?",264|265|258,63,DA_CHAP_HANH_25_NAM_TU,GIAM_XUONG_30_NAM_TU,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “được giảm xuống 30 năm tù” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",13|14
F016,16,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: đình chỉ hoạt động có thời hạn và đình chỉ hoạt động vĩnh viễn trong cùng lĩnh vực, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",383|343,86|79,DINH_CHI_CUNG_LINH_VUC,CHAM_DUT_HOAT_DONG,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến bị đình chỉ hoạt động vĩnh viễn, và hậu quả cuối cùng là chấm dứt hoạt động trong một hoặc một số lĩnh vực.",
CF016,16,COUNTERFACTUAL_WITH_ALTERNATIVE_CANDIDATE,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “đình chỉ hoạt động có thời hạn và đình chỉ hoạt động vĩnh viễn trong cùng lĩnh vực” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “chấm dứt hoạt động trong một hoặc một số lĩnh vực” hay không?",383|343,86|79,DINH_CHI_CUNG_LINH_VUC,CHAM_DUT_HOAT_DONG,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “chấm dứt hoạt động trong một hoặc một số lĩnh vực” dựa trên chuỗi này, vì điều kiện đầu vào đã bị phủ định nên đường suy luận bị vô hiệu. Có thể tồn tại chuỗi pháp lý khác cùng dẫn đến hậu quả đó, nhưng các điều kiện của những chuỗi thay thế chưa được xác minh nên chưa được xem là căn cứ hợp lệ.",8|28|32
F017,17,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị xử phạt tù không quá 03 năm, có nhân thân tốt, có các tình tiết giảm nhẹ và không cần bắt chấp hành hình phạt tù, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",270|272,65,DU_DIEU_KIEN_AN_TREO,BI_GIAM_SAT_GIAO_DUC,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến được hưởng án treo, và hậu quả cuối cùng là được giao cho cơ quan, tổ chức hoặc chính quyền địa phương giám sát, giáo dục.",
CF017,17,COUNTERFACTUAL_PATH_INVALIDATION,MULTI_HOP,2,"Giả sử điều kiện hoặc sự kiện “bị xử phạt tù không quá 03 năm, có nhân thân tốt, có các tình tiết giảm nhẹ và không cần bắt chấp hành hình phạt tù” không còn xảy ra hoặc không còn được thỏa mãn. Theo chuỗi đang xét, có còn đủ căn cứ để kết luận “được giao cho cơ quan, tổ chức hoặc chính quyền địa phương giám sát, giáo dục” hay không?",270|272,65,DU_DIEU_KIEN_AN_TREO,BI_GIAM_SAT_GIAO_DUC,INVALIDATED,False,NOT_ENOUGH_LEGAL_BASIS,"Không thể giữ nguyên kết luận “được giao cho cơ quan, tổ chức hoặc chính quyền địa phương giám sát, giáo dục” dựa trên chuỗi này. Khi điều kiện đầu vào bị phủ định, đường suy luận nhân quả bị vô hiệu và hậu quả cuối không còn reachable theo chain đang xét.",
F018,18,FACTUAL_MULTI_HOP,MULTI_HOP,2,"Nếu xảy ra trường hợp: bị xử phạt tù không quá 03 năm, có nhân thân tốt, có các tình tiết giảm nhẹ và không cần bắt chấp hành hình phạt tù, thì sau chuỗi suy luận pháp lý liên quan, hậu quả cuối cùng là gì?",270|271,65,DU_DIEU_KIEN_AN_TREO,THUC_HIEN_NGHIA_VU_TRONG_THOI_GIAN_THU_THACH,,True,SUPPORTED,"Theo chuỗi nhân quả pháp lý đã cho, trường hợp này dẫn đến được hưởng án treo, và hậu quả cuối cùng là phải thực hiện nghĩa vụ trong thời gian thử thách từ 01 năm đến 05 năm.",
